"Group","Test%","TIme"
"Prequiz",9.52381,35.38
"Prequiz",23.80952,26.02
"Prequiz",23.80952,32.77
"Prequiz",14.28571,30.87
"Prequiz",23.80952,NA
"Prequiz",28.57143,27.18
"Prequiz",19.04762,36.32
"Prequiz",23.80952,87.93
"Prequiz",28.57143,66.3
"Prequiz",28.57143,NA
"Prequiz",23.80952,NA
"Prequiz",23.80952,22.98
"Prequiz",19.04762,29.75
"Prequiz",23.80952,64.62
"Prequiz",23.80952,98.83
"Prequiz",23.80952,24.52
"Prequiz",9.52381,131.05
"Prequiz",19.04762,NA
"Prequiz",33.33333,69.23
"Prequiz",23.80952,31.05
"Prequiz",23.80952,76.58
"Prequiz",42.85714,59.92
"Prequiz",23.80952,29.08
"Prequiz",33.33333,38.88
"Prequiz",28.57143,22.63
"Prequiz",33.33333,52.3
"Prequiz",14.28571,23.52
"Prequiz",33.33333,74.37
"Prequiz",19.04762,36.32
"Prequiz",23.80952,48.47
"Prequiz",33.33333,43.3
"Prequiz",19.04762,23.37
"Prequiz",38.09524,76.85
"Prequiz",33.33333,24.22
"Prequiz",38.09524,29.42
"Prequiz",38.09524,35.8
"Prequiz",23.80952,63
"Prequiz",23.80952,33.2
"Prequiz",28.57143,59.97
"Prequiz",38.09524,26.08
"Prequiz",23.80952,33.97
"Prequiz",19.04762,55.88
"Prequiz",38.09524,107.1
"Prequiz",33.33333,NA
"Prequiz",38.09524,39.93
"Prequiz",38.09524,41.45
"Prequiz",28.57143,110.87
"Prequiz",28.57143,57.33
"Prequiz",47.61905,35.95
"Prequiz",47.61905,36.77
"Prequiz",47.61905,21.07
"Prequiz",38.09524,38.25
"Prequiz",38.09524,27.75
"Prequiz",28.57143,38.95
"Prequiz",33.33333,25.2
"Prequiz",47.61905,32.58
"Prequiz",38.09524,25.32
"Prequiz",38.09524,116.87
"Prequiz",33.33333,30.5
"Prequiz",23.80952,33.32
"Prequiz",28.57143,86.73
"Prequiz",33.33333,27.48
"Prequiz",38.09524,39.17
"Prequiz",42.85714,38.42
"Prequiz",42.85714,27.53
"Prequiz",38.09524,100.12
"Prequiz",33.33333,79.85
"Prequiz",38.09524,67.38
"Prequiz",33.33333,30.27
"Prequiz",42.85714,45.9
"Prequiz",33.33333,31.6
"Prequiz",42.85714,NA
"Prequiz",42.85714,39.42
"Prequiz",38.09524,45.17
"Prequiz",61.90476,34.68
"Prequiz",33.33333,92.15
"Prequiz",61.90476,80.9
"Prequiz",42.85714,131.05
"Prequiz",38.09524,43.98
"Prequiz",47.61905,78.07
"Prequiz",42.85714,50.57
"Prequiz",57.14286,32.43
"Prequiz",57.14286,33.52
"Prequiz",57.14286,22.12
"Prequiz",52.38095,35.13
"Prequiz",57.14286,41.93
"Prequiz",57.14286,29.6
"Prequiz",61.90476,51.62
"Prequiz",61.90476,70.52
"Prequiz",66.66667,34.1
"Prequiz",66.66667,45.33
"Prequiz",71.42857,43.77
"Prequiz",80.95238,26.42
"Prequiz",85.71429,34.47
"Prequiz",90.47619,28.68
