"Group","Test%","Time"
"Quiz",14.28571,31.87
"Quiz",19.04762,90.63
"Quiz",28.57143,25.88
"Quiz",14.28571,27.98
"Quiz",33.33333,52.83
"Quiz",28.57143,71.62
"Quiz",23.80952,65.5
"Quiz",14.28571,36.03
"Quiz",19.04762,23.47
"Quiz",19.04762,26.73
"Quiz",28.57143,32.83
"Quiz",23.80952,39.55
"Quiz",14.28571,31.42
"Quiz",38.09524,25.27
"Quiz",28.57143,54.23
"Quiz",33.33333,39.42
"Quiz",42.85714,51.77
"Quiz",33.33333,107.05
"Quiz",33.33333,23.42
"Quiz",28.57143,69.37
"Quiz",14.28571,29.58
"Quiz",23.80952,36.08
"Quiz",23.80952,40.52
"Quiz",33.33333,24.13
"Quiz",28.57143,44.8
"Quiz",28.57143,25.77
"Quiz",23.80952,27.98
"Quiz",23.80952,49.05
"Quiz",23.80952,28.58
"Quiz",47.61905,58.8
"Quiz",33.33333,55.67
"Quiz",28.57143,26.13
"Quiz",28.57143,29.58
"Quiz",23.80952,25.1
"Quiz",23.80952,NA
"Quiz",47.61905,21.08
"Quiz",47.61905,20.48
"Quiz",42.85714,27.13
"Quiz",28.57143,25.27
"Quiz",23.80952,23.73
"Quiz",42.85714,38.77
"Quiz",42.85714,24.23
"Quiz",33.33333,30.85
"Quiz",28.57143,53.4
"Quiz",28.57143,22.45
"Quiz",38.09524,22
"Quiz",38.09524,25.93
"Quiz",33.33333,43.75
"Quiz",23.80952,21.93
"Quiz",52.38095,50.25
"Quiz",47.61905,35.6
"Quiz",28.57143,43.55
"Quiz",57.14286,71.52
"Quiz",42.85714,23.72
"Quiz",38.09524,22.8
"Quiz",57.14286,50.52
"Quiz",33.33333,22.93
"Quiz",28.57143,43.38
"Quiz",47.61905,41.53
"Quiz",47.61905,36.6
"Quiz",47.61905,30.5
"Quiz",42.85714,25.07
"Quiz",61.90476,29.77
"Quiz",52.38095,43.17
"Quiz",47.61905,23.87
"Quiz",47.61905,35.6
"Quiz",38.09524,51.48
"Quiz",57.14286,68.42
"Quiz",47.61905,34.6
"Quiz",61.90476,43.12
"Quiz",57.14286,60.18
"Quiz",47.61905,30.63
"Quiz",47.61905,21.4
"Quiz",47.61905,45.82
"Quiz",42.85714,42.97
"Quiz",61.90476,73.08
"Quiz",61.90476,49.23
"Quiz",61.90476,86.27
"Quiz",66.66667,24.65
"Quiz",66.66667,29.27
"Quiz",61.90476,52.18
"Quiz",61.90476,42.23
"Quiz",57.14286,43.07
"Quiz",71.42857,66.12
"Quiz",71.42857,16.75
"Quiz",61.90476,27.75
"Quiz",76.19048,33.85
"Quiz",71.42857,33.12
"Quiz",66.66667,29.37
"Quiz",66.66667,59.7
"Quiz",76.19048,45.55
"Quiz",71.42857,30.28
"Quiz",90.47619,37.4
"Quiz",85.71429,20.8
"Quiz",95.2381,61.82
