"State","Abbreviation","Well_Being_2010","Well_Being_2013","Kidney_Rate, per million population","WB Change 2013-2010"
"Alaska","AK",68.3,67.6,15.42,-0.7
"Alabama","AL",63.71,64.1,12.82,0.39
"Arkansas","AR",63.69,64.3,12.27,0.61
"Arizona","AZ",66.19,67.2,15.91,1.01
"California","CA",67.01,67.6,13.24,0.59
"Colorado","CO",68.01,68.9,14.85,0.89
"Connecticut","CT",67.9,65.9,16.36,-2
"Delaware","DE",64.2,66.5,12,2.3
"Florida","FL",65.1,66.2,12.7,1.1
"Georgia","GA",66.1,66.6,12.48,0.5
"Hawaii","HI",71,68.4,18.24,-2.6
"Iowa","IA",66.92,68.2,16.24,1.28
"Idaho","ID",66.9,66.3,16.12,-0.6
"Illinois","IL",66.3,66.9,14.79,0.6
"Indiana","IN",64.81,64.9,13.97,0.09
"Kansas","KS",67.21,66.9,14.82,-0.31
"Kentucky","KY",61.91,63,13.82,1.09
"Louisiana","LA",64.29,64.9,12.52,0.61
"Massachusetts","MA",67.81,68,16.88,0.19
"Maryland","MD",67.5,67.2,14.97,-0.3
"Maine","ME",66.41,67.7,17.7,1.29
"Michigan","MI",64.61,65.4,13.33,0.79
"Minnesota","MN",68.01,69.7,21.39,1.69
"Missouri","MO",65.61,64.5,13.97,-1.11
"Mississippi","MS",63,63.7,12,0.7
"Montana","MT",67.3,69.3,15.91,2
"North Carolina","NC",65.1,65.8,12.97,0.7
"North Dakota","ND",67.99,70.4,17.73,2.41
"Nebraska","NE",67.81,69.7,16.36,1.89
"New Hampshire","NH",67.21,68.2,21.91,0.99
"New Jersey","NJ",66.61,66.9,14.94,0.29
"New Mexico","NM",66.7,65.7,12.76,-1
"Nevada","NV",64.2,66.6,13.18,2.4
"New York","NY",65.9,65.5,15.03,-0.4
"Ohio","OH",63.8,64.2,14.18,0.4
"Oklahoma","OK",64.9,64.7,12.42,-0.2
"Oregon","OR",66.3,66.7,15.24,0.4
"Pennsylvania","PA",66.12,65.5,15.03,-0.62
"Rhode Island","RI",65.7,65.2,20.73,-0.5
"South Carolina","SC",65.32,65.3,13.3,-0.02
"South Dakota","SD",68.41,70,15.94,1.59
"Tennessee","TN",64.81,64.3,12.33,-0.51
"Texas","TX",66.3,66.9,12.73,0.6
"Utah","UT",67.92,68.2,29.42,0.28
"Virginia","VA",66.7,66.8,15.52,0.1
"Vermont","VT",67.1,69.1,18.06,2
"Washington","WA",67.5,68.3,18.06,0.8
"Wisconsin","WI",66.7,67.7,15.88,1
"West Virginia","WV",61.71,61.4,12.82,-0.31
"Wyoming","WY",69.19,65.6,13.39,-3.59
