"ID","Study Technique","Stress Status","%Recalled","Items Recalled","Group"
101,"Reviewing","No Stress",36.667,11,"Rev-NoStress"
102,"Reviewing","No Stress",30,9,"Rev-NoStress"
103,"Reviewing","No Stress",40,12,"Rev-NoStress"
104,"Reviewing","No Stress",23.333,7,"Rev-NoStress"
105,"Reviewing","No Stress",10,3,"Rev-NoStress"
106,"Reviewing","No Stress",20,6,"Rev-NoStress"
107,"Reviewing","No Stress",20,6,"Rev-NoStress"
108,"Reviewing","No Stress",16.667,5,"Rev-NoStress"
109,"Reviewing","No Stress",46.667,14,"Rev-NoStress"
110,"Reviewing","No Stress",43.333,13,"Rev-NoStress"
111,"Reviewing","No Stress",30,9,"Rev-NoStress"
112,"Reviewing","No Stress",53.333,16,"Rev-NoStress"
115,"Reviewing","No Stress",46.667,14,"Rev-NoStress"
116,"Reviewing","No Stress",20,6,"Rev-NoStress"
118,"Reviewing","No Stress",36.667,11,"Rev-NoStress"
119,"Reviewing","No Stress",36.667,11,"Rev-NoStress"
120,"Reviewing","No Stress",30,9,"Rev-NoStress"
122,"Reviewing","No Stress",16.667,5,"Rev-NoStress"
123,"Reviewing","No Stress",20,6,"Rev-NoStress"
124,"Reviewing","No Stress",63.333,19,"Rev-NoStress"
125,"Reviewing","No Stress",16.667,5,"Rev-NoStress"
126,"Reviewing","No Stress",26.667,8,"Rev-NoStress"
127,"Reviewing","No Stress",50,15,"Rev-NoStress"
128,"Reviewing","No Stress",20,6,"Rev-NoStress"
129,"Reviewing","No Stress",13.333,4,"Rev-NoStress"
130,"Reviewing","No Stress",23.333,7,"Rev-NoStress"
133,"Reviewing","No Stress",10,3,"Rev-NoStress"
134,"Reviewing","No Stress",20,6,"Rev-NoStress"
135,"Reviewing","No Stress",13.333,4,"Rev-NoStress"
136,"Reviewing","No Stress",40,12,"Rev-NoStress"
200,"Reviewing","Stress",13.333,4,"Rev-Stress"
201,"Reviewing","Stress",10,3,"Rev-Stress"
202,"Reviewing","Stress",26.667,8,"Rev-Stress"
203,"Reviewing","Stress",3.333,1,"Rev-Stress"
204,"Reviewing","Stress",36.667,11,"Rev-Stress"
205,"Reviewing","Stress",10,3,"Rev-Stress"
207,"Reviewing","Stress",30,9,"Rev-Stress"
208,"Reviewing","Stress",43.333,13,"Rev-Stress"
209,"Reviewing","Stress",33.333,10,"Rev-Stress"
210,"Reviewing","Stress",20,6,"Rev-Stress"
211,"Reviewing","Stress",6.667,2,"Rev-Stress"
212,"Reviewing","Stress",23.333,7,"Rev-Stress"
213,"Reviewing","Stress",23.333,7,"Rev-Stress"
214,"Reviewing","Stress",16.667,5,"Rev-Stress"
215,"Reviewing","Stress",20,6,"Rev-Stress"
216,"Reviewing","Stress",33.333,10,"Rev-Stress"
217,"Reviewing","Stress",23.333,7,"Rev-Stress"
218,"Reviewing","Stress",16.667,5,"Rev-Stress"
219,"Reviewing","Stress",6.667,2,"Rev-Stress"
220,"Reviewing","Stress",30,9,"Rev-Stress"
221,"Reviewing","Stress",30,9,"Rev-Stress"
223,"Reviewing","Stress",40,12,"Rev-Stress"
224,"Reviewing","Stress",13.333,4,"Rev-Stress"
225,"Reviewing","Stress",46.667,14,"Rev-Stress"
226,"Reviewing","Stress",13.333,4,"Rev-Stress"
227,"Reviewing","Stress",13.333,4,"Rev-Stress"
228,"Reviewing","Stress",23.333,7,"Rev-Stress"
229,"Reviewing","Stress",36.667,11,"Rev-Stress"
230,"Reviewing","Stress",23.333,7,"Rev-Stress"
232,"Reviewing","Stress",36.667,11,"Rev-Stress"
300,"Self-Testing","No Stress",23.333,7,"SelfT-NoStress"
301,"Self-Testing","No Stress",50,15,"SelfT-NoStress"
302,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
303,"Self-Testing","No Stress",20,6,"SelfT-NoStress"
304,"Self-Testing","No Stress",36.667,11,"SelfT-NoStress"
305,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
306,"Self-Testing","No Stress",46.667,14,"SelfT-NoStress"
308,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
309,"Self-Testing","No Stress",26.667,8,"SelfT-NoStress"
310,"Self-Testing","No Stress",53.333,16,"SelfT-NoStress"
311,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
312,"Self-Testing","No Stress",16.667,5,"SelfT-NoStress"
314,"Self-Testing","No Stress",36.667,11,"SelfT-NoStress"
315,"Self-Testing","No Stress",56.667,17,"SelfT-NoStress"
316,"Self-Testing","No Stress",26.667,8,"SelfT-NoStress"
317,"Self-Testing","No Stress",20,6,"SelfT-NoStress"
319,"Self-Testing","No Stress",46.667,14,"SelfT-NoStress"
320,"Self-Testing","No Stress",20,6,"SelfT-NoStress"
321,"Self-Testing","No Stress",30,9,"SelfT-NoStress"
322,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
324,"Self-Testing","No Stress",30,9,"SelfT-NoStress"
326,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
327,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
328,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
329,"Self-Testing","No Stress",23.333,7,"SelfT-NoStress"
331,"Self-Testing","No Stress",23.333,7,"SelfT-NoStress"
332,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
333,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
334,"Self-Testing","No Stress",43.333,13,"SelfT-NoStress"
336,"Self-Testing","No Stress",33.333,10,"SelfT-NoStress"
400,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
402,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
403,"Self-Testing","Stress",40,12,"SelfT-Stress"
404,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
407,"Self-Testing","Stress",63.333,19,"SelfT-Stress"
408,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
409,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
410,"Self-Testing","Stress",40,12,"SelfT-Stress"
411,"Self-Testing","Stress",36.667,11,"SelfT-Stress"
412,"Self-Testing","Stress",53.333,16,"SelfT-Stress"
413,"Self-Testing","Stress",36.667,11,"SelfT-Stress"
414,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
415,"Self-Testing","Stress",20,6,"SelfT-Stress"
416,"Self-Testing","Stress",53.333,16,"SelfT-Stress"
417,"Self-Testing","Stress",43.333,13,"SelfT-Stress"
418,"Self-Testing","Stress",20,6,"SelfT-Stress"
419,"Self-Testing","Stress",30,9,"SelfT-Stress"
420,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
422,"Self-Testing","Stress",46.667,14,"SelfT-Stress"
424,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
425,"Self-Testing","Stress",33.333,10,"SelfT-Stress"
426,"Self-Testing","Stress",23.333,7,"SelfT-Stress"
428,"Self-Testing","Stress",46.667,14,"SelfT-Stress"
429,"Self-Testing","Stress",30,9,"SelfT-Stress"
430,"Self-Testing","Stress",63.333,19,"SelfT-Stress"
431,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
432,"Self-Testing","Stress",43.333,13,"SelfT-Stress"
433,"Self-Testing","Stress",43.333,13,"SelfT-Stress"
434,"Self-Testing","Stress",26.667,8,"SelfT-Stress"
435,"Self-Testing","Stress",50,15,"SelfT-Stress"
