"Violence","Difficulty","Agression"
"Nonviolent","Easy",40
"Nonviolent","Easy",60
"Nonviolent","Easy",40
"Nonviolent","Easy",30
"Nonviolent","Easy",20
"Nonviolent","Easy",60
"Nonviolent","Easy",30
"Nonviolent","Easy",80
"Nonviolent","Easy",50
"Nonviolent","Easy",50
"Nonviolent","Easy",80
"Nonviolent","Easy",10
"Nonviolent","Easy",60
"Nonviolent","Easy",50
"Nonviolent","Easy",0
"Nonviolent","Easy",40
"Nonviolent","Easy",30
"Nonviolent","Easy",0
"Nonviolent","Easy",80
"Nonviolent","Easy",0
"Nonviolent","Easy",0
"Nonviolent","Easy",50
"Nonviolent","Easy",80
"Nonviolent","Easy",40
"Nonviolent","Easy",50
"Nonviolent","Easy",20
"Nonviolent","Easy",80
"Nonviolent","Easy",80
"Nonviolent","Easy",30
"Nonviolent","Easy",80
"Nonviolent","Easy",80
"Nonviolent","Easy",30
"Nonviolent","Easy",40
"Nonviolent","Easy",80
"Nonviolent","Easy",80
"Nonviolent","Easy",40
"Nonviolent","Easy",10
"Nonviolent","Easy",10
"Nonviolent","Easy",30
"Nonviolent","Easy",40
"Nonviolent","Easy",60
"Nonviolent","Easy",60
"Nonviolent","Easy",40
"Nonviolent","Easy",30
"Nonviolent","Easy",0
"Nonviolent","Easy",80
"Nonviolent","Easy",60
"Nonviolent","Easy",80
"Nonviolent","Easy",10
"Nonviolent","Easy",50
"Nonviolent","Easy",50
"Nonviolent","Easy",30
"Nonviolent","Easy",20
"Nonviolent","Easy",50
"Nonviolent","Easy",40
"Nonviolent","Easy",60
"Nonviolent","Hard",40
"Nonviolent","Hard",80
"Nonviolent","Hard",10
"Nonviolent","Hard",80
"Nonviolent","Hard",60
"Nonviolent","Hard",80
"Nonviolent","Hard",50
"Nonviolent","Hard",40
"Nonviolent","Hard",50
"Nonviolent","Hard",80
"Nonviolent","Hard",60
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",40
"Nonviolent","Hard",10
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",50
"Nonviolent","Hard",60
"Nonviolent","Hard",0
"Nonviolent","Hard",80
"Nonviolent","Hard",50
"Nonviolent","Hard",80
"Nonviolent","Hard",30
"Nonviolent","Hard",40
"Nonviolent","Hard",60
"Nonviolent","Hard",80
"Nonviolent","Hard",20
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",10
"Nonviolent","Hard",30
"Nonviolent","Hard",80
"Nonviolent","Hard",50
"Nonviolent","Hard",30
"Nonviolent","Hard",20
"Nonviolent","Hard",20
"Nonviolent","Hard",80
"Nonviolent","Hard",70
"Nonviolent","Hard",10
"Nonviolent","Hard",60
"Nonviolent","Hard",80
"Nonviolent","Hard",20
"Nonviolent","Hard",80
"Nonviolent","Hard",40
"Nonviolent","Hard",30
"Nonviolent","Hard",20
"Nonviolent","Hard",60
"Nonviolent","Hard",30
"Nonviolent","Hard",80
"Nonviolent","Hard",80
"Nonviolent","Hard",40
"Violent","Easy",30
"Violent","Easy",10
"Violent","Easy",30
"Violent","Easy",60
"Violent","Easy",40
"Violent","Easy",80
"Violent","Easy",60
"Violent","Easy",70
"Violent","Easy",60
"Violent","Easy",80
"Violent","Easy",80
"Violent","Easy",0
"Violent","Easy",70
"Violent","Easy",40
"Violent","Easy",40
"Violent","Easy",20
"Violent","Easy",80
"Violent","Easy",20
"Violent","Easy",50
"Violent","Easy",40
"Violent","Easy",40
"Violent","Easy",50
"Violent","Easy",70
"Violent","Easy",60
"Violent","Easy",60
"Violent","Easy",80
"Violent","Easy",80
"Violent","Easy",80
"Violent","Easy",40
"Violent","Easy",40
"Violent","Easy",80
"Violent","Easy",30
"Violent","Easy",10
"Violent","Easy",40
"Violent","Easy",80
"Violent","Easy",80
"Violent","Easy",40
"Violent","Easy",20
"Violent","Easy",50
"Violent","Easy",80
"Violent","Easy",60
"Violent","Easy",60
"Violent","Easy",60
"Violent","Easy",80
"Violent","Easy",70
"Violent","Easy",80
"Violent","Easy",80
"Violent","Easy",40
"Violent","Easy",70
"Violent","Easy",60
"Violent","Easy",40
"Violent","Easy",30
"Violent","Easy",40
"Violent","Easy",40
"Violent","Easy",80
"Violent","Hard",40
"Violent","Hard",80
"Violent","Hard",30
"Violent","Hard",30
"Violent","Hard",80
"Violent","Hard",0
"Violent","Hard",80
"Violent","Hard",50
"Violent","Hard",40
"Violent","Hard",20
"Violent","Hard",40
"Violent","Hard",60
"Violent","Hard",70
"Violent","Hard",80
"Violent","Hard",0
"Violent","Hard",80
"Violent","Hard",50
"Violent","Hard",40
"Violent","Hard",20
"Violent","Hard",30
"Violent","Hard",30
"Violent","Hard",80
"Violent","Hard",20
"Violent","Hard",50
"Violent","Hard",80
"Violent","Hard",40
"Violent","Hard",20
"Violent","Hard",60
"Violent","Hard",10
"Violent","Hard",30
"Violent","Hard",60
"Violent","Hard",70
"Violent","Hard",50
"Violent","Hard",80
"Violent","Hard",60
"Violent","Hard",80
"Violent","Hard",80
"Violent","Hard",60
"Violent","Hard",80
"Violent","Hard",20
"Violent","Hard",80
"Violent","Hard",60
"Violent","Hard",40
"Violent","Hard",40
"Violent","Hard",40
"Violent","Hard",50
"Violent","Hard",10
"Violent","Hard",40
"Violent","Hard",50
"Violent","Hard",40
"Violent","Hard",80
"Violent","Hard",80
"Violent","Hard",60
"Violent","Hard",0
"Violent","Hard",40
"Violent","Hard",80
