"condition","transcription"
"Pen",12.1
"Pen",6.5
"Pen",8.1
"Pen",7.6
"Pen",12.2
"Pen",10.8
"Pen",1
"Pen",2.9
"Pen",14.4
"Pen",8.4
"Pen",17.7
"Pen",20.1
"Pen",2.1
"Pen",11.1
"Pen",11.2
"Pen",10.7
"Pen",1.9
"Pen",5.2
"Pen",9.7
"Pen",5.2
"Pen",2.4
"Pen",7.1
"Pen",8.7
"Pen",8
"Pen",11.3
"Pen",8.5
"Pen",9.1
"Pen",4.5
"Pen",9.2
"Pen",13.3
"Pen",18.3
"Pen",2.8
"Pen",5.1
"Pen",12.4
"Laptop",13.7
"Laptop",21.1
"Laptop",15.2
"Laptop",30.4
"Laptop",12.8
"Laptop",9.6
"Laptop",9.3
"Laptop",17.7
"Laptop",15.4
"Laptop",8.7
"Laptop",12.8
"Laptop",10.6
"Laptop",5.1
"Laptop",16.7
"Laptop",17.7
"Laptop",8.7
"Laptop",26.4
"Laptop",18
"Laptop",19
"Laptop",16.9
"Laptop",18.8
"Laptop",8.5
"Laptop",1.2
"Laptop",11.5
"Laptop",21.4
"Laptop",10.3
"Laptop",9
"Laptop",12.8
"Laptop",12
"Laptop",34.7
"Laptop",4.1
