"Location","M Flag","s Flag","n Flag","M Noflag","s Noflag","n Noflag"
"abington",3.106,0.61,39,3.053,0.897,44
"conncoll",2.562,0.689,42,2.881,0.724,52
"csun",3.267,0.766,47,3.321,0.854,47
"ithaca",2.864,0.77,43,2.994,0.747,46
"jmu",3.411,0.902,82,3.371,0.891,90
"luc",3.086,0.97,78,3.03,0.749,67
"mcdaniel",3.198,0.761,48,3.121,0.876,50
"mturk",3.213,1.194,487,3.102,1.154,495
"osu",3.594,0.863,35,3.349,0.9,62
"oxy",2.299,0.714,58,2.303,0.721,63
"pi",2.92,1.123,654,2.892,1.059,666
"psu",3.389,0.732,46,3.375,0.778,45
"qccuny",3.133,0.791,48,3.306,0.772,51
"qccuny2",3.106,0.744,48,3.091,0.767,37
"sdsu",3.061,0.773,86,3.149,0.784,74
"tamu",3.926,0.947,107,4.193,1.04,75
"tamuc",3.796,0.996,48,3.529,0.998,38
"tamuon",4.021,1.05,113,4.051,0.992,105
"ufl",3.406,1.038,53,3.514,0.866,73
"uva",3.037,0.891,36,3.178,0.993,44
"vcu",3.108,0.94,53,3.168,0.694,52
"wisc",2.999,0.721,38,3.024,0.864,57
"wku",3.735,0.853,44,3.632,1.01,55
"wl",3.028,0.812,53,3.105,0.847,36
"wpi",3.071,0.93,38,2.999,0.819,48
