"Study name","M No Brain","s No Brain","n No Brain","M Brain","s Brain","n Brain","SimpleCritique","Research group"
"McCabe 1",2.89,0.79,28,3.12,0.65,26,"Simple","McCabe"
"McCabe 2",2.69,0.55,26,3,0.54,28,"Critique","McCabe"
"Michael 1",2.9,0.58,98,2.86,0.61,99,"Simple","Michael"
"Michael 2",2.62,0.54,42,2.85,0.57,33,"Simple","Michael"
"Michael 3",2.96,0.36,24,3.07,0.55,21,"Simple","Michael"
"Michael 4",2.93,0.6,184,2.89,0.6,184,"Simple","Michael"
"Michael 5",2.86,0.59,274,2.91,0.52,255,"Simple","Michael"
"Michael 6",2.5,0.84,58,2.6,0.83,55,"Critique","Michael"
"Michael 7",2.41,0.78,34,2.74,0.51,34,"Critique","Michael"
"Michael 8",2.54,0.66,99,2.72,0.68,95,"Critique","Michael"
